team,PTS%,season
BUF,.482,2024
BOS,.463,2024
WSH,.677,2024
CAR,.604,2024
NJD,.555,2024
CBJ,.543,2024
NYR,.518,2024
NYI,.500,2024
PIT,.488,2024
PHI,.463,2024
WPG,.707,2024
DAL,.646,2024
COL,.622,2024
MIN,.591,2024
STL,.585,2024
UTA,.543,2024
NSH,.415,2024
CHI,.372,2024
VGK,.671,2024
LAK,.640,2024
EDM,.616,2024
CGY,.585,2024
VAN,.549,2024
ANA,.488,2024
SEA,.463,2024
SJS,.317,2024
