gameId,homeRate,awayRate,pLogistic,pGoals,pWin,season,date,home,away,homeGoals,awayGoals,homeGoalie,awayGoalie
2025020024,3.1679086580626943,2.9626728806662257,0.501743046942011,0.5323114303101809,0.5170272386260959,2025,2025-10-11,BOS,BUF,3.0,1.0,Jeremy Swayman,Alex Lyon
2025020025,2.8339196023468904,2.954993000424632,0.4755431971211205,0.4803721976069114,0.47795769736401594,2025,2025-10-11,DET,TOR,6.0,3.0,Cam Talbot,Anthony Stolarz
2025020026,3.365853326998714,2.6123287130974435,0.5984156350081723,0.6186505570023259,0.6085330960052491,2025,2025-10-11,TBL,NJD,3.0,5.0,Andrei Vasilevskiy,Jacob Markstrom
2025020027,3.0689629724741208,2.7309365467766122,0.5819924571426502,0.5545736647542527,0.5682830609484515,2025,2025-10-11,FLA,OTT,6.0,2.0,Sergei Bobrovsky,Linus Ullmark
2025020028,3.0163934317693064,3.04476748956117,0.46616717085369175,0.49548330534354695,0.4808252380986193,2025,2025-10-11,NYI,WSH,2.0,4.0,Ilya Sorokin,Logan Thompson
2025020029,3.2232335951170703,3.0831653548412987,0.5087539183947545,0.5217526320627948,0.5152532752287746,2025,2025-10-11,PIT,NYR,1.0,6.0,Arturs Silovs,Igor Shesterkin
2025020030,3.8365658703483745,2.551233797550465,0.6965190827312326,0.6915163398075426,0.6940177112693876,2025,2025-10-11,CAR,PHI,4.0,3.0,Frederik Andersen,Samuel Ersson
2025020031,2.874841789245107,3.3094487321223722,0.40258307544820215,0.4320190719623817,0.4173010737052919,2025,2025-10-11,CHI,MTL,2.0,3.0,Spencer Knight,Samuel Montembeault
2025020032,2.8877078622782353,3.3388298439739184,0.4246862064286733,0.4296864477767652,0.4271863271027192,2025,2025-10-11,NSH,UTA,2.0,3.0,Juuse Saros,Karel Vejmelka
2025020033,3.4269916734500887,2.8969494535392237,0.6053173237730785,0.5817923260812592,0.5935548249271688,2025,2025-10-11,MIN,CBJ,4.0,7.0,Filip Gustavsson,Elvis Merzlikins
